LeadProt
P31946
P61981
P62258
Q04917
P27348
P63104
P01009
P01023
P01011
P17174
P00505
Q6H8Q1
Q12979
Q96P50
Q99798
P33121
Q53FZ2
P63267
P68133
Q562R1
P60709
Q6S8J3
P12814
P35609
Q08043
O43707
Q01082
P42025
Q9P0K1
Q08828
O95622
P35611
Q9NRN7
P13945
P12235
P05141
Q96P47
Q9BYV1
Q09666
Q96NN9
Q16352
P51857
P49419
P49189
P02768
P04075
P09972
Q9P2R3
Q01484
Q12955
Q8NB46
P08133
P27338
O95782
O94973
P63010
Q96CW1
P04114
Q9BPW4
P29972
P55087
P42345
O43488
P61160
Q9NWX5
O14525
Q9C0F0
Q8WWH4
O94823
P54707
P05023
P20648
P50993
Q13733
P13637
P05026
O14983
P16615
P20020
P23634
Q8NB25
Q01814
P24539
Q9NTI2
Q9NVI7
Q9P2R6
O75110
P25705
P06576
P36542
O75061
A6NMY6
P51572
P80723
Q9NWK9
O00499
P11021
P12644
Q8N8U9
Q6PJG6
Q96NH3
Q8TDC3
Q6RI45
Q9UPA5
P02745
Q6UB35
P54289
Q9NY47
Q9BTV7
Q15878
P43155
P00918
Q5VU97
P0DP23
P27824
P17655
Q86VP6
Q01518
P40123
P47756
P16152
A0A096LP49
A6NC98
Q502W7
A6NI79
P46092
Q6IQ19
Q08722
P60033
P21926
Q5VT06
Q9H3R5
Q53EZ4
P00450
P10809
Q96BS2
Q9H5X1
Q96RK0
Q96LP6
Q9UL41
O75508
Q00610
Q9Y696
O96005
P58418
O75746
P09543
Q96KP4
Q9UKZ1
A5YKK6
P26992
Q12860
Q02246
P78357
Q9UHC6
Q9C0A0
P02452
P08123
P02458
P01024
P08572
P12109
P12111
P23528
Q96P44
Q9GZQ3
Q6QEF8
P00403
P13073
P04632
P02511
Q14894
Q5T3F8
O14936
P13611
Q1MSJ5
Q8WWI5
P26232
Q9UQB3
O14578
Q13618
Q93034
Q9HCG8
O95452
Q7L576
Q96F07
P01034
Q9P219
Q9UK59
Q13409
Q8N568
Q96GG9
Q14203
Q13561
O43602
O94760
P35659
Q5VZ89
A2RUS2
Q7Z5J1
P09417
Q8IZQ1
Q9UBX3
Q14689
O14490
Q8TDJ6
Q96M86
Q9H3Z4
O00429
Q96BY6
Q8IZD9
Q9H7D0
Q9H4B8
Q7L8W6
Q8N608
Q14194
Q16555
Q14195
O14531
Q86XH1
Q8TD84
Q9NZJ0
P28562
Q96DT5
Q6ZR08
Q9C0G6
Q8WXX0
Q14204
Q05193
P50570
Q9UQ16
Q9NZM1
Q03001
Q9P2K8
O43491
Q9Y2J2
P43004
Q15125
Q13011
P40939
Q15075
Q05639
A4FU69
Q8NDI1
B5ME19
Q92556
Q96JJ3
P06733
P13929
P09104
P58107
O75460
Q56NI9
P38117
Q92817
O00471
Q8IYI6
Q96BN6
A6NJQ4
Q9BTP7
P49327
Q9NYQ8
O14526
Q0JRZ9
Q96AC1
Q9BXU8
P02671
P02679
P21333
Q14315
Q96PY5
Q8IVF7
A0AVI2
P02794
P02792
O94915
Q16658
P07954
Q5VWT5
P04406
P06744
O75899
P80404
O14976
Q8N5Q1
P62873
P16520
P35573
P31150
P50395
P52306
P06396
P14136
Q9H936
Q9H3K2
P15104
Q16775
O94925
A0A0U1RQE8
P63096
P08754
P09471
P50148
A8MTJ3
Q03113
Q13439
Q14789
Q9H8Y8
Q5T848
P43304
Q13491
Q14330
Q9NWQ4
P42261
P42262
P42263
P38646
P09488
P10412
P16401
Q9P0M6
Q99879
A0A2R8Y619
Q96A08
Q16695
Q8TF76
P69905
P68871
P02042
Q99714
Q16836
Q13547
Q9BXW7
Q9Y4D8
Q8IVU3
Q96M32
Q9Y241
O75146
Q96RW7
Q9BUJ2
P61978
Q00839
Q86YZ3
Q5SSJ5
Q9UPZ3
P00739
O43301
P0DMV8
P11142
P17066
P34931
P07900
Q12931
P08238
P34932
Q86XA9
O43464
P19367
P52789
P52790
Q9Y4L1
P20810
Q9UMF0
P50213
O43837
P01860
P01834
Q14005
P58166
Q96DU7
P26006
